岗位名称,薪资,工作地点,工作经验,学历要求,企业,岗位需求,公司类型,岗位需求人数,企业服务
python大数据开发工程师,1.2万-1.6万,深圳·龙岗·坂田,3-5年,本科,软通动力信息技术(集团)股份有限公司,"Sql, Shell, Django, MySQL",民营,10000人以上,互联网
大数据开发工程师,1.5万-2万,深圳·福田·园岭,3-5年,大专,深圳市乐有家控股集团有限公司,"Java, Hadoop, Spark, Flink, Python",民营,10000人以上,房地产中介
（全国有岗）数据开发助理工程师,1万-1.5万·13薪,深圳·南山·粤海,无经验,本科,思特奇,Hadoop,上市公司,1000-9999人,运营商/增值服务
数据治理工程师,2.5万-3万,深圳·福田·香蜜湖,3-5年,本科,深圳市同致诚资产评估土地房地产估价顾问有限公司,"数仓开发, 数据治理, Java, Python, Flink",民营,100-299人,房地产开发
大数据开发工程师,1.1万-2.2万·14薪,深圳·龙岗·坂田,经验不限,本科,外企德科数字技术有限公司,"数据库开发, Sql",合资,10000人以上,人力资源服务
大数据开发工程师,1.3万-1.5万,深圳·福田·福田街道,3-5年,本科,深圳市紫川软件有限公司,"Hadoop, PostgreSQL",民营,500-999人,计算机软件
开发者技术支持（大数据方向）,1.2万-2万,深圳·龙岗·坂田,3-5年,本科,软通动力信息技术(集团)股份有限公司,"数据治理, 数据架构, 数据中台开发, Flink, Spark",民营,10000人以上,互联网
数据分析师,8千-1.5万,深圳·坪山·马峦,1-3年,本科,比亚迪,"数据治理, 报表开发, 数据仓库, Python, BI工具, SPSS, , , ",民营,10000人以上,汽车研发/制造
大数据开发工程师,1.4万-1.7万,深圳·罗湖·桂园,1-3年,本科,深圳华云信息系统科技股份有限公司,"ETL开发, Flink, Spark, Oracle, 金融行业, Java, ",民营,1000-9999人,计算机软件
大数据开发工程师——（偏技术架构方案输出）,1.2万-2万,深圳·龙岗·坂田,5-10年,本科,软通动力信息技术(集团)股份有限公司,"数据湖, 数据治理, Hadoop, Spark",民营,10000人以上,互联网
大数据开发（数仓+bi）,面议,深圳·龙岗·坂田,3-5年,本科,中软国际,"数据仓库, 数据库开发, Java, Python",上市公司,10000人以上,计算机软件
大数据开发（需要现场面试）,1.7万-1.8万,深圳·福田·福田街道,3-5年,本科,成都迈思信息技术有限公司,"数据建模, 数据架构, Sql, Python, Shell, Hadoop",民营,1000-9999人,计算机软件
大数据开发工程师,1.2万-1.8万,深圳·龙岗·坂田,3-5年,本科,软通动力信息技术(集团)股份有限公司,"数据中台开发, 数据挖掘, 数据治理, Sql, Scala, Python, , , ",民营,10000人以上,互联网
大数据测试工程师,1.1万-1.6万,深圳·福田·福田街道,3-5年,本科,深圳市紫川软件有限公司,"SQL, Hadoop, hive",民营,500-999人,计算机软件
数据开发工程师,1.5万-2万,深圳·南山·西丽,3-5年,大专,深圳市前海润杨金融服务有限公司,"数据治理, 数据库开发, Sql, Python, 帆软, SmartBI, ",股份制企业,1000-9999人,银行
软件数据分析师,1.5万-3万·15薪,深圳·龙岗·坂田,经验不限,本科,外企德科数字技术有限公司,,合资,10000人以上,人力资源服务
大数据解决方案工程师,1.9万-2万,深圳·龙岗·坂田,5-10年,本科,软通动力信息技术(集团)股份有限公司,"云计算产品, 公私有云产品, 混合云产品, 云服务产品, , , , ",民营,10000人以上,互联网
大数据开发工程师,面议,深圳·龙岗·坂田,3-5年,本科,中软国际,"ETL, 数据仓库, 数据库开发, Python, Hadoop",上市公司,10000人以上,计算机软件
Office 2016 Marco升级-运维,1.4万-1.6万,深圳·福田·香蜜湖,5-10年,大专,信必优(深圳)信息技术有限公司,"VBA, 报表开发",外商独资,500-999人,计算机软件
数据分析工程师,2万-3.5万,深圳·南山·南山,5-10年,本科,中建国际投资集团有限公司,数据分析,港澳台公司,500-999人,互联网
大数据测试工程师,1.2万-1.8万,深圳·福田·福田街道,3-5年,本科,深圳市紫川软件有限公司,"大数据测试, Hadoop, hive",民营,500-999人,计算机软件
大数据开发工程师,面议,深圳·龙岗·坂田,3-5年,本科,中软国际,"数据建模, 数据架构, Sql",上市公司,10000人以上,计算机软件
理工科博士研究专家,2.8万-5.6万·17薪,深圳·福田·福田街道,3-5年,博士,北京百川聚才人力资源顾问有限公司,"人工智能, 新能源, 大数据, 研究员, 民营, 1000-9999人",互联网,人工智能,互联网
实时数据开发工程师,1.3万-1.8万,深圳·福田·华强北,3-5年,本科,京北方,"Flink, 实时数据, Kafka, hive",民营,10000人以上,IT服务
大数据测试工程师,1.3万-1.8万,深圳·福田·福田街道,3-5年,本科,深圳市紫川软件有限公司,"SQL, 大数据测试",民营,500-999人,计算机软件
中级大数据开发工程师,1.3万-1.5万,深圳·南山·粤海,3-5年,本科,厦门至恒融兴信息技术股份有限公司福州分公司,"数据库开发, linux, Python, Shell, Sql, git, JIRA",WIKI,100-299人,计算机软件
高级数据库工程师(J11319),1.5万-2万·14薪,深圳·福田·沙头,3-5年,大专,北京中亦安图科技股份有限公司,"Oracle, MySQL, SQL Server",民营,500-999人,IT服务
高级数据治理工程师,2.6万-3.5万,深圳·南山·桃源,3-5年,本科,深圳凯文人才网络科技有限公司,,民营,20-99人,人力资源服务
java大数据开发工程师,1万-1.2万,深圳·龙岗·坂田,3-5年,本科,软通动力信息技术(集团)股份有限公司,"Java, SPARK-CORE, 数据清洗",民营,10000人以上,互联网
招聘软件开发\软件测试工程师\大数据开发\网络安全工程师\算法工程师,2万-4万·14薪,深圳·龙岗·坂田,经验不限,本科,外企德科数字技术有限公司,"JavaScript, Python, C++",合资,10000人以上,人力资源服务
数据开发运维工程师,1万-1.8万,深圳·福田·福田街道,1-3年,本科,深圳高新区信息网有限公司,"数据仓库, 数据仓库建模能力, 软件平台部署及运维经验",国企,300-499人,运营商/增值服务
BI,1.1万-1.8万,深圳·龙岗·坂田,经验不限,本科,软通动力信息技术(集团)股份有限公司,"报表开发, 数据仓库, Cognos, BIEE, DataStage, Kettle, , ",民营,10000人以上,互联网
数据分析师,8千-1万,深圳·龙岗·平湖,3-5年,本科,深圳前海思佳智能有限公司,"数据治理, 数据挖掘, 数据建模",外商独资,20-99人,计算机软件
大数据开发（全额公积金）,1.7万-1.9万·13薪,深圳·南山·粤海,3-5年,本科,深圳市睿服科技有限公司,Python,股份制企业,1000-9999人,IT服务
资深数据仓库工程师,面议,深圳·福田·福田街道,5-10年,本科,中国联合网络通信有限公司深圳市分公司,"数仓开发, 数据调研, 数据建模",国企,500-999人,运营商/增值服务
数据分析工程师,1万-1.5万,深圳·龙华·观澜,3-5年,本科,深圳硅基仿生科技股份有限公司,"Python, C++",民营,500-999人,医疗设备/器械
数据开发工程师,1万-1.3万,深圳·南山·西丽,1-3年,本科,中科软件系统(深圳)股份有限公司,"数据治理, ETL, 数据建模, Python, Shell, Spark",股份制企业,1000-9999人,计算机软件
大数据开发,1.5万-2.2万,深圳·龙岗·坂田,5-10年,本科,软通动力信息技术(集团)股份有限公司,"Java, Python, 数据治理, 数据建模, HANA, Spark, Flink, , , , ",民营,10000人以上,互联网
大数据架构师,2万-4万,深圳·南山·粤海,5-10年,硕士,深圳市先创数字技术有限公司,"大数据开发, 数据架构, 数据挖掘, 数据平台搭建, 数据魔方, ",民营,100-299人,运营商/增值服务
运营工程师（数据挖掘）,1.1万-1.5万,深圳·龙岗·坂田,1-3年,本科,湖南拓维云创科技有限责任公司,"深度学习, 机器学习, 分类算法, 图像算法, SPSS, SAS, , , ",上市公司,1000-9999人,互联网
数据开发工程师,8千-9千,深圳·龙岗·龙城,3-5年,本科,深圳市智城信息科技有限公司,"数据架构, 数据治理",数据库开发,20-99人,通信/网络设备
数据平台开发工程师,1.6万-2万,深圳·福田·梅林,5-10年,本科,上海从开网络科技有限公司,"Flink, Java",民营,100-299人,互联网
运营工程师（python+数据分析）,1万-1.4万,深圳·龙岗·坂田,3-5年,本科,湖南拓维云创科技有限责任公司,"数据挖掘, Python, Sql, SPSS, 数据仓库, 数据治理",上市公司,1000-9999人,互联网
高级数据挖掘工程师,2.5万-5万,深圳·南山·蛇口,3-5年,本科,牧原股份,"R语言, SQL, Python",上市公司,10000人以上,农/林/牧/渔
数据开发（外包美的，工作地点在佛山）,1.6万-1.8万,深圳·南山·粤海,5-10年,大专,顶尖传诚,"数据建模, Java, Hadoop, Flink, Spark, 离线，实时",民营,100-299人,计算机软件
数据分析师,7千-1.2万,深圳·南山·南头,1-3年,本科,深圳市中联信信息技术有限公司,"数据挖掘, ETL工具, Sql, Python",民营,20-99人,IT服务
运营工程师（数据分析）,1万-1.5万,深圳·龙岗·坂田,3-5年,本科,湖南拓维云创科技有限责任公司,"数据采集, 行业数据分析, SPSS, SAS",上市公司,1000-9999人,互联网
数据处理工程师（短期）,1.1万-1.5万,深圳·南山·西丽,3-5年,本科,中科软件系统(深圳)股份有限公司,"Python, Java, Sql, Hadoop, Flink, Spark, 数据治理, , ",股份制企业,1000-9999人,计算机软件
数据开发工程师,1.5万-1.8万,深圳·福田·华富,3-5年,本科,中科软科技股份有限公司,"数据迁移, 表结构设计, Oracle",股份制企业,1000-9999人,计算机软件
数据库开发工程师,1.4万-1.8万·13薪,深圳·南山·粤海,经验不限,硕士,思特奇,"Hadoop, MySQL, Hive, Spark",上市公司,1000-9999人,运营商/增值服务
BI,1万-1.5万,深圳·龙岗·坂田,3-5年,本科,软通动力信息技术(集团)股份有限公司,"Oracle, MySQL, DB2, Tableau, Power BI, YONGHONGBI, ",民营,10000人以上,互联网
数据库工程师DBA,1.5万-3万·13薪,深圳·福田·香蜜湖,10年以上,大专,深圳市硅谷明天科技发展有限公司,"Oracle, MySQL, SQL Server, MongoDB, DB2, OCP, , , ",民营,20-99人,IT服务
ETL工程师,面议,深圳·龙岗·坂田,3-5年,本科,中软国际,"ETL, 数据分析, 数据处理, Oracle, 数据清洗, 数据仓库, ",上市公司,10000人以上,计算机软件
IT数据服务工程师,4万-6万,深圳·福田·梅林,5-10年,硕士,福建晟捷管理咨询有限公司,"数据仓库, 数据库开发, 大数据开发",民营,1000-9999人,企业服务
BI工程师,1.5万-1.9万,深圳·罗湖·桂园,3-5年,本科,深圳市紫川软件有限公司,"Python, 报表开发, 数据仓库, Hive, FineBI, Kettle, , ",民营,500-999人,计算机软件
数据分析师,1万-1.8万,深圳·南山·粤海,3-5年,本科,深圳市万氪睿速科技有限公司,"Python, 数据建模",民营,20-99人,IT服务
数据库(DBA)解决方案工程师,1.5万-2万,深圳·龙岗·坂田,5-10年,本科,软通动力信息技术(集团)股份有限公司,"SQL, PostgreSQL, MongoDB",民营,10000人以上,互联网
数据开发工程师,1.5万-3万,深圳·龙岗·坂田,经验不限,本科,外企德科数字技术有限公司,"数据建模, 数据架构, 数据治理, Java, Python, C语言, , ",合资,10000人以上,人力资源服务
java（大数据）+薪资25k以内+头部企业+双休六险一金,1.6万-2.5万,深圳·龙岗·坂田,3-5年,本科,河南万马奔腾人力资源服务有限公司,"Redis, JavaScript",民营,100-299人,人力资源服务
数据分析师,7千-1.2万,深圳·南山·南头,1-3年,本科,深圳市中联信信息技术有限公司,"数据挖掘, ETL工具, Sql, Python",民营,20-99人,IT服务
大数据分析师,面议,深圳·龙岗·坂田,3-5年,本科,中软国际,"数据建模, 数据分析, Python, Sql",上市公司,10000人以上,计算机软件
数据库工程师,1.7万-2.4万,深圳·龙岗·坂田,5-10年,本科,软通动力信息技术(集团)股份有限公司,"Shell, SQL, Oracle, SQL Server, MySQL, OCP, OCA, ",民营,10000人以上,互联网
项目咨询（需要有大数据项目相关经验）,1万-1.5万,深圳·福田·福田街道,3-5年,本科,福建罗德数字科技有限公司,"大数据项目, 信息化",民营,1000-9999人,专业技术服务
数据开发工程师,1万-1.7万,深圳·福田·莲花,3-5年,本科,深圳中科软科技信息系统有限公司,"保单登记平台, 大病险平台, 农险平台, 数据治理, Sql, , , , , ",国企,1000-9999人,计算机软件
大厂数据开发工程师,8千-1.1万,深圳·南山·粤海,1-3年,本科,软通动力信息技术(集团)股份有限公司,"GoLang, 数据库开发, 数据中台开发, Spark, Sql, excel",民营,10000人以上,互联网
运营工程师（Python+数据分析）,1.1万-1.5万,深圳·龙岗·坂田,1-3年,本科,湖南拓维云创科技有限责任公司,"Python, Sql, 数据挖掘, 报表开发, 数据建模, SPSS",上市公司,1000-9999人,互联网
数字化运营分析工程师,1.4万-1.8万,深圳·龙岗·宝龙,3-5年,本科,中南国际科技发展(深圳)有限公司,"数据监控, BI平台建设, Java, Python",民营,10000人以上,咨询服务
数据分析师,1.2万-2.4万,深圳·南山·粤海,1-3年,硕士,深圳市赋风科技有限公司,"Python, R语言, SPSS, 数据治理, 数据建模, 数据挖掘, , , ",民营,100-299人,互联网
数据库开发工程师,面议,深圳·龙岗·坂田,1-3年,本科,华为技术有限公司,,民营,10000人以上,运营商/增值服务
高级数据开发工程师,1.5万-2万,深圳·南山·西丽,3-5年,本科,深圳市润迅数智科技有限公司,"数据库开发, 数据治理, 数据架构, Python, Sql, Hadoop, , , , ",民营,100-299人,IT服务
大数据开发（Java、Python都可以）周末双休,面议,深圳·龙岗·坂田,经验不限,本科,中软国际,"大数据开发, Java, Python, Hadoop",上市公司,10000人以上,计算机软件
数据分析开发（银行项目加班少福利好）,1.5万-2.1万,深圳·南山·粤海,3-5年,本科,拓保软件,"Python, Hive, NumPy",民营,1000-9999人,计算机软件
java（大数据）+薪资25k以内+头部企业+双休六险一金,1.6万-2.5万,深圳·龙岗·坂田,3-5年,本科,河南万马奔腾人力资源服务有限公司,"Redis, JavaScript",民营,100-299人,人力资源服务
数据分析师,1.3万-2万,深圳·南山·粤海,3-5年,本科,江西金融发展集团股份有限公司,"数据建模, Python, SAS",股份制企业,100-299人,证券/期货
数据开发工程师,1.2万-1.8万,深圳·龙岗·坂田,3-5年,本科,软通动力信息技术(集团)股份有限公司,"数据挖掘, 数据建模, 数据仓库, Python, Sql",民营,10000人以上,互联网
java（大数据）+薪资25k以内+头部企业+双休六险一金,1.6万-2.5万,深圳·龙岗·坂田,3-5年,本科,河南万马奔腾人力资源服务有限公司,"Redis, JavaScript",民营,100-299人,人力资源服务
数据开发(外包美的，工作地点在佛山）,1.2万-1.3万,深圳·南山·粤海,3-5年,大专,顶尖传诚,"Hadoop, Flink, Spark, Java, Python, 数据建模",民营,100-299人,计算机软件
dba数据库工程师,1.1万-1.6万,深圳·龙岗·坂田,3-5年,本科,软通动力信息技术(集团)股份有限公司,Oracle,民营,10000人以上,互联网
大数据分析师,2万-3万·13薪,深圳·福田·福保,5-10年,本科,智联猎头,"数据挖掘, 数据建模, 报表开发",港澳台公司,1000-9999人,互联网
数据开发（长期/现场面）,1.4万-1.5万,深圳·南山·粤海,5-10年,大专,拓保软件,"数据仓库, ETL, Python, Shell, 银行账户, 银行存款",民营,1000-9999人,计算机软件
资深数据工程师,2万-3.5万·13薪,深圳·南山·粤海,3-5年,本科,深圳新思,"数据架构, 数据建模, 数据仓库, Sql, Java, DATA PIPELINES, , , , ",上市公司,1000-9999人,IT服务
etl数据开发工程师,面议,深圳·龙岗·坂田,3-5年,本科,中软国际,"Python, Kettle, 报表开发, PostgreSQL, MySQL, Hadoop, , , , ",上市公司,10000人以上,计算机软件
数据开发工程师,1.2万-1.7万,深圳·福田·华强北,3-5年,本科,京北方,"ETL, Java",民营,10000人以上,IT服务
